coin,layer,theta,simple,baseline,vault1,vault2,comfund,theta_pct,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,2587001,407223.8000429843,1207652.2331693103,1079092.616707765,1500000,1500000.0,120354.99209879345,15.741153561323875,94.16401465396929,41.93655590612158,100.0,100.0,59.30887477027511,3907099.8419758687,3907099.8419758687,70.28949502618703,70.28949502618703,2046-02-01
SMH,2595001,408368.649306627,1208306.9506194564,1081496.8370183539,1500000,1500000.0,120515.98882304266,15.7367434273292,94.21506480058972,42.02999062887341,100.0,100.0,59.388211193222006,3910319.776460853,3910319.776460853,70.34742228121527,70.34742228121527,2046-03-01
SMH,2604001,409658.07562843105,1209036.6646675859,1084201.056728496,1500000,1500000.0,120696.72217874118,15.731870902831108,94.27196264123788,42.13508416700066,100.0,100.0,59.47727348945927,3913934.4435748234,3913934.4435748234,70.41245085391749,70.41245085391749,2046-04-01
SMH,2613001,410950.7008291756,1209759.2017281607,1086908.144283026,1500000,1500000.0,120877.22873743088,15.727154365006962,94.32830087213856,42.24028915757847,100.0,100.0,59.566224024022496,3917544.5747486176,3917544.5747486176,70.47739782416332,70.47739782416332,2046-05-01
SMH,2622001,412241.01528445684,1210474.6323893114,1089606.5625955286,1500000,1500000.0,121056.90499920212,15.722382077064687,94.38408499724524,42.34515723717446,100.0,100.0,59.6547654025125,3921138.0999840423,3921138.0999840423,70.54204605031003,70.54204605031003,2046-06-01
SMH,2630001,413386.53503110865,1211104.6614072055,1091998.9714198823,1500000,1500000.0,121215.9806751099,15.718113226234845,94.43321011790826,42.43813293254981,100.0,100.0,59.73315516580264,3924319.613502198,3924319.613502198,70.59928210458426,70.59928210458426,2046-07-01
SMH,2639001,414670.65011605696,1211806.859011659,1094677.259939032,1500000,1500000.0,121393.90099740478,15.713167600772298,94.48796242465653,42.54221871209922,100.0,100.0,59.82083124745128,3927878.019948096,3927878.019948096,70.66329853679646,70.66329853679646,2046-08-01
SMH,2648001,415953.6940914172,1212502.1502622045,1097349.5447679113,1500000,1500000.0,121571.1418436903,15.708215143854446,94.54217622371799,42.64607117146021,100.0,100.0,59.90817249498256,3931422.836873806,3931422.836873806,70.72707049086621,70.72707049086621,2046-09-01
SMH,2657001,417236.8227284105,1213190.603085198,1100018.242766304,1500000,1500000.0,121747.83399218433,15.703299423990073,94.59585681150011,42.749784236560764,100.0,100.0,59.99524335365803,3934956.679843686,3934956.679843686,70.79064502131105,70.79064502131105,2046-10-01
SMH,2666001,418518.9137934197,1213872.284738916,1102681.0293539204,1500000,1500000.0,121923.85863646507,15.698377974855212,94.64900943231844,42.85326756771203,100.0,100.0,60.08198527771184,3938477.1727293013,3938477.1727293013,70.85397938111284,70.85397938111284,2046-11-01
SMH,2674001,419659.15798117087,1214472.593400719,1105046.064921907,1500000,1500000.0,122079.92938540137,15.694053890823934,94.69581717388041,42.94517946181749,100.0,100.0,60.15889426455608,3941598.587708027,3941598.587708027,70.91013425083605,70.91013425083605,2046-12-01
SMH,2683001,420942.55230612645,1215141.6662406651,1107704.4748510101,1500000,1500000.0,122255.0600574566,15.68924321333188,94.74798665030319,43.0484927037831,100.0,100.0,60.24519565443804,3945101.201149132,3945101.201149132,70.97314695591265,70.97314695591265,2047-01-01
SMH,2692001,422223.6539778491,1215804.1585201058,1110354.401552314,1500000,1500000.0,122429.39789854843,15.684379536926215,94.79964302205988,43.15147626379984,100.0,100.0,60.3311063508265,3948587.957970968,3948587.957970968,71.0358743972882,71.0358743972882,2047-02-01
SMH,2700001,423363.1120706706,1216387.5684616189,1112708.2113495797,1500000,1500000.0,122583.98841111572,15.680109454428742,94.84513312324384,43.242951893071194,100.0,100.0,60.407285902589514,3951679.7682223143,3951679.7682223143,71.09149667214002,71.09149667214002,2047-03-01
SMH,2709001,424643.19593568635,1217037.8068660563,1115349.0048087672,1500000,1500000.0,122757.20061446441,15.67526907283114,94.89583402617127,43.34558050976548,100.0,100.0,60.49264190401451,3955144.012289288,3955144.012289288,71.15381910462537,71.15381910462537,2047-04-01
SMH,2718001,425922.2207909582,1217681.6499531113,1117983.9082743896,1500000,1500000.0,122929.76622250007,15.67042178391245,94.94603626835585,43.447980224843164,100.0,100.0,60.57767927436507,3958595.324450001,3958595.324450001,71.21590888957225,71.21590888957225,2047-05-01
SMH,2727001,427201.7750389558,1218319.1606229206,1120616.2015005788,1500000,1500000.0,123101.86116439472,15.66562590328921,94.99574475429675,43.550278498719024,100.0,100.0,60.662484708518136,3962037.2232878944,3962037.2232878944,71.27782932698918,71.27782932698918,2047-06-01
SMH,2735001,428337.75169711304,1218880.571033471,1122950.0298750596,1500000,1500000.0,123254.24215308056,15.661338028655678,95.0395194906604,43.64097759403886,100.0,100.0,60.73757544482861,3965084.8430616115,3965084.8430616115,71.33265660645232,71.33265660645232,2047-07-01
SMH,2744001,429613.454808128,1219506.2899038834,1125567.4533955895,1500000,1500000.0,123424.93385786698,15.656461306250543,95.08830853709651,43.742697989581536,100.0,100.0,60.821689387814814,3968498.67715734,3968498.67715734,71.39407215363491,71.39407215363491,2047-08-01
SMH,2753001,430891.2326098067,1220125.8546149274,1128185.4602528159,1500000,1500000.0,123595.33236146018,15.651691830471789,95.13661772655308,43.84444105521908,100.0,100.0,60.90565884628444,3971906.6472292035,3971906.6472292035,71.45538220587419,71.45538220587419,2047-09-01
