coin,block,total_supply,total_supply_pct,date
FIL,1746865,20931028.3203125,99.67156344491175,2054-01-01
FIL,1799425,20941293.9453125,99.72044737349046,2055-01-01
FIL,1851985,20951559.5703125,99.76933130206918,2056-01-01
FIL,1904689,20960418.84765625,99.8115183370457,2057-01-01
FIL,1957249,20965551.66015625,99.83596030133505,2058-01-01
FIL,2009809,20970684.47265625,99.8604022656244,2059-01-01
FIL,2062369,20975817.28515625,99.88484422991377,2060-01-01
FIL,2115073,20980228.173828125,99.90584846168773,2061-01-01
FIL,2167633,20982794.580078125,99.91806944383241,2062-01-01
FIL,2220193,20985360.986328125,99.93029042597709,2063-01-01
FIL,2272753,20987927.392578125,99.94251140812176,2064-01-01
FIL,2325457,20990123.461914062,99.95296888115159,2065-01-01
FIL,2378017,20991406.665039062,99.95907937222394,2066-01-01
FIL,2430577,20992689.868164062,99.96518986329626,2067-01-01
FIL,2483137,20993973.071289062,99.97130035436861,2068-01-01
FIL,2535841,20995066.41845703,99.97650676945496,2069-01-01
FIL,2588401,20995708.02001953,99.97956201499112,2070-01-01
FIL,2640961,20996349.62158203,99.98261726052729,2071-01-01
FIL,2693521,20996991.22314453,99.98567250606347,2072-01-01
FIL,2746225,20997535.552978516,99.98826455289235,2073-01-01
FIL,2798785,20997856.353759766,99.98979217566043,2074-01-01
FIL,2851345,20998177.154541016,99.9913197984285,2075-01-01
FIL,2903905,20998497.955322266,99.9928474211966,2076-01-01
FIL,2956609,20998768.948364258,99.9941378642539,2077-01-01
FIL,3009169,20998929.348754883,99.99490167563793,2078-01-01
FIL,3061729,20999089.749145508,99.99566548702198,2079-01-01
FIL,3114289,20999250.149536133,99.99642929840601,2080-01-01
FIL,3166993,20999385.06011963,99.9970717297561,2081-01-01
FIL,3219553,20999465.26031494,99.99745363544812,2082-01-01
FIL,3272113,20999545.460510254,99.99783554114015,2083-01-01
FIL,3324673,20999625.660705566,99.99821744683216,2084-01-01
FIL,3377377,20999692.823028564,99.99853726741792,2085-01-01
FIL,3429937,20999732.92312622,99.99872822026393,2086-01-01
FIL,3482497,20999773.023223877,99.99891917310994,2087-01-01
FIL,3535057,20999813.123321533,99.99911012595595,2088-01-01
FIL,3587761,20999846.557998657,99.99926933870418,2089-01-01
