coin,block,total_supply,total_supply_pct,date
FIL,506305,16828812.5,80.13720239289376,2030-06-01
FIL,510625,16882812.5,80.39434525007493,2030-07-01
FIL,515089,16938612.5,80.66005953582881,2030-08-01
FIL,519553,16994412.5,80.9257738215827,2030-09-01
FIL,523873,17048412.5,81.18291667876386,2030-10-01
FIL,528337,17104212.5,81.44863096451775,2030-11-01
FIL,532657,17158212.5,81.70577382169893,2030-12-01
FIL,537121,17214012.5,81.9714881074528,2031-01-01
FIL,541585,17269812.5,82.23720239320667,2031-02-01
FIL,545617,17320212.5,82.47720239324245,2031-03-01
FIL,550081,17376012.5,82.74291667899632,2031-04-01
FIL,554401,17430012.5,83.00005953617749,2031-05-01
FIL,558865,17485812.5,83.26577382193138,2031-06-01
FIL,563185,17539812.5,83.52291667911254,2031-07-01
FIL,567649,17595612.5,83.78863096486643,2031-08-01
FIL,572113,17651412.5,84.05434525062032,2031-09-01
FIL,576433,17705412.5,84.3114881078015,2031-10-01
FIL,580897,17761212.5,84.57720239355537,2031-11-01
FIL,585217,17815212.5,84.83434525073655,2031-12-01
FIL,589681,17871012.5,85.10005953649042,2032-01-01
FIL,594145,17926812.5,85.36577382224431,2032-02-01
FIL,598321,17979012.5,85.61434525085278,2032-03-01
FIL,602785,18034812.5,85.88005953660665,2032-04-01
FIL,607105,18088812.5,86.13720239378783,2032-05-01
FIL,611569,18144612.5,86.4029166795417,2032-06-01
FIL,615889,18198612.5,86.66005953672288,2032-07-01
FIL,620353,18254412.5,86.92577382247676,2032-08-01
FIL,624817,18310212.5,87.19148810823064,2032-09-01
FIL,629137,18364212.5,87.44863096541181,2032-10-01
FIL,633601,18397506.25,87.6071726321021,2032-11-01
FIL,637921,18424506.25,87.7357440606927,2032-12-01
FIL,642385,18452406.25,87.86860120356963,2033-01-01
FIL,646849,18480306.25,88.00145834644657,2033-02-01
FIL,650881,18505506.25,88.12145834646445,2033-03-01
FIL,655345,18533406.25,88.2543154893414,2033-04-01
FIL,659665,18560406.25,88.38288691793198,2033-05-01
FIL,664129,18588306.25,88.51574406080893,2033-06-01
FIL,668449,18615306.25,88.6443154893995,2033-07-01
FIL,672913,18643206.25,88.77717263227645,2033-08-01
FIL,677377,18671106.25,88.91002977515339,2033-09-01
FIL,681697,18698106.25,89.03860120374397,2033-10-01
FIL,686161,18726006.25,89.17145834662091,2033-11-01
FIL,690481,18753006.25,89.3000297752115,2033-12-01
FIL,694945,18780906.25,89.43288691808844,2034-01-01
FIL,699409,18808806.25,89.56574406096539,2034-02-01
FIL,703441,18834006.25,89.68574406098327,2034-03-01
FIL,707905,18861906.25,89.8186012038602,2034-04-01
FIL,712225,18888906.25,89.94717263245079,2034-05-01
FIL,716689,18916806.25,90.08002977532773,2034-06-01
FIL,721009,18943806.25,90.20860120391832,2034-07-01
FIL,725473,18971706.25,90.34145834679525,2034-08-01
FIL,729937,18999606.25,90.4743154896722,2034-09-01
FIL,734257,19026606.25,90.60288691826278,2034-10-01
FIL,738721,19054506.25,90.73574406113973,2034-11-01
FIL,743041,19081506.25,90.86431548973032,2034-12-01
FIL,747505,19109406.25,90.99717263260726,2035-01-01
FIL,751969,19137306.25,91.13002977548419,2035-02-01
FIL,756001,19162506.25,91.25002977550207,2035-03-01
FIL,760465,19190406.25,91.38288691837901,2035-04-01
FIL,764785,19217406.25,91.5114583469696,2035-05-01
FIL,769249,19245306.25,91.64431548984653,2035-06-01
FIL,773569,19272306.25,91.77288691843714,2035-07-01
FIL,778033,19300206.25,91.90574406131407,2035-08-01
FIL,782497,19328106.25,92.03860120419101,2035-09-01
FIL,786817,19355106.25,92.1671726327816,2035-10-01
FIL,791281,19383006.25,92.30002977565854,2035-11-01
FIL,795601,19410006.25,92.42860120424913,2035-12-01
FIL,800065,19437906.25,92.56145834712606,2036-01-01
