coin,layer,simple,baseline,vault1,vault2,comfund,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,1,1.4084733485594805,0.0,1500000,0.0,0.07413017623997266,0.0001098225974256001,0.0,100.0,0.0,3.295554677589845e-05,1500001.4826035248,1.4826035247994531,25.00503347566777,2.4715009417462185e-05,2021-07-01
SMH,2001,2815.262246718138,1319.91694739331,1500000,0.0,217.64101021639203,0.21951385355287734,0.0441243160247494,100.0,0.0,0.09675517928517399,1504352.8202043278,4352.82020432784,25.077570298886876,0.07256153822852554,2021-07-01
SMH,4001,5622.942311118276,2642.9562970140933,1500000,0.0,435.0472951648616,0.4384365031918369,0.08835301275535572,100.0,0.0,0.1934060083591538,1508700.9459032973,8700.94590329723,25.15005357968366,0.14504481902530778,2021-07-01
SMH,6001,8424.462211915928,3978.9896419080264,1500000,0.0,652.8132554644188,0.656878827684365,0.1330160937515697,100.0,0.0,0.2902167358504601,1513056.2651092883,13056.265109288373,25.22265677628451,0.21764801562615585,2021-07-01
SMH,8001,11219.835464759226,5327.328786406862,1500000,0.0,870.9033816403204,0.8748418808832629,0.1780905528968227,100.0,0.0,0.3871715755541323,1517418.0676328065,17418.067632806407,25.295368049826394,0.2903592891680426,2021-07-01
SMH,10001,14009.075555642536,6683.245876144416,1500000,0.0,1089.0695490414187,1.0923267143291444,0.22341833983757975,100.0,0.0,0.4841602203865789,1521781.3909808283,21781.390980828368,25.368104675521646,0.3630959148632921,2021-08-01
SMH,12001,16792.195940970836,8042.315757881042,1500000,0.0,1307.0795630974674,1.3093343772554575,0.2688515234025729,100.0,0.0,0.5810794451916088,1526141.5912619494,26141.591261949347,25.440789239673418,0.43578047901506217,2021-08-01
SMH,14001,19569.210047626046,9409.061701643977,1500000,0.0,1525.1721973300014,1.5258659165936534,0.31454131476955194,100.0,0.0,0.6780353998849095,1530503.4439466,30503.443946600026,25.513501349401675,0.508492588743323,2021-08-01
SMH,16001,22340.13127303013,10788.976744763891,1500000,0.0,1743.6372640944226,1.7419223769781091,0.360671344064331,100.0,0.0,0.7751569243683822,1534872.7452818884,34872.74528188844,25.586337628179574,0.5813288675212185,2021-08-01
SMH,18001,25104.972985211134,12172.44805045418,1500000,0.0,1961.9695281929116,1.9575048007512763,0.4069202578494048,100.0,0.0,0.8722194096765681,1539239.3905638582,39239.39056385822,25.659129630533133,0.6541208698747797,2021-09-01
SMH,20001,27863.748522866863,13555.314737114682,1500000,0.0,2179.9506978937657,2.1726142279686442,0.4531489594527973,100.0,0.0,0.9691258113433693,1543599.0139578753,43599.01395787531,25.73180457797351,0.7267958173151585,2021-09-01
