coin,layer,theta,simple,baseline,vault1,vault2,comfund,theta_pct,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,369001,68604.39614104445,427312.8850980422,217179.97307453898,1500000,1052361.3963039014,33920.67674592533,18.591926889370068,33.31877809607853,8.440220924055225,100.0,70.1574264202601,16.715527409080664,2178413.5349185066,1730774.931222408,39.190088178089255,31.136981607842422,2025-01-01
SMH,474001,86747.21197576393,520454.22807775706,271930.68951572507,1500000,1351813.826146475,41704.46934702538,18.30106096311272,40.58126852531011,10.567986831620338,100.0,90.12092174309834,20.551246830153723,2334089.3869405077,2185903.2130869827,41.99072739105193,39.324828962216394,2026-01-01
SMH,579001,104549.1199129098,603451.2299876706,324602.6424756819,1500000,1500000.0,48844.940655965926,18.056811631225127,47.05277637287181,12.61496617870268,100.0,100.0,24.06994855808099,2476898.8131193183,2476898.8131193183,44.55989707114175,44.55989707114175,2027-01-01
SMH,684001,122135.9544270478,677408.7455834509,375636.8051612082,1500000,1500000.0,55423.4500391926,17.85610758274444,52.81945024723367,14.598296416947907,100.0,100.0,27.311725092490168,2608469.0007838514,2608469.0007838514,46.92687063861625,46.92687063861625,2028-01-01
SMH,790001,139562.137146987,743903.1218352603,425241.82997805875,1500000,1500000.0,61533.94483227996,17.666070947630068,58.00420232056015,16.526086362173498,100.0,100.0,30.3228720681815,2730678.896645599,2730678.896645599,49.12545071456871,49.12545071456871,2029-01-01
SMH,895001,156409.9608628581,802563.5432597538,472306.3068199534,1500000,1500000.0,67098.41316208987,17.475953754560955,62.578119074829594,18.35514351047849,100.0,100.0,33.06494657278501,2841968.263241797,2841968.263241797,51.12756832000852,51.12756832000852,2030-01-01
SMH,1000001,172964.95693304995,854835.05828467,517712.22922842467,1500000,1500000.0,72239.33092174183,17.296478396826597,66.65387496845639,20.11974459667752,100.0,100.0,35.59830262469852,2944786.6184348366,2944786.6184348366,52.977290763314976,52.977290763314976,2031-01-01
SMH,1105001,189292.2338707747,901413.5044780204,561692.2431990949,1500000,1500000.0,77005.5656672166,17.130503399614543,70.28572639839935,21.828930894569226,100.0,100.0,37.94702131692409,3040111.313344332,3040111.313344332,54.692200783460585,54.692200783460585,2032-01-01
SMH,1211001,205627.71387461113,943291.6652228088,604912.1878166209,1500000,1500000.0,81484.41331786473,16.97997886662448,73.55108345545925,23.508578772470713,100.0,100.0,40.154120580487536,3129688.2663572943,3129688.2663572943,56.30370779580289,56.30370779580289,2033-01-01
SMH,1316001,221656.85258444498,980236.0009132295,646574.567399984,1500000,1500000.0,85621.6088585902,16.843213081482837,76.4317364048636,25.127695318657707,100.0,100.0,42.19285954715718,3212432.177171804,3212432.177171804,57.79228703433663,57.79228703433663,2034-01-01
SMH,1421001,237567.64208293185,1013156.6031051707,687210.3478836638,1500000,1500000.0,89492.99742046498,16.718330394062487,78.99864762489595,26.70691535376636,100.0,100.0,44.1006133959949,3289859.9484092994,3289859.9484092994,59.185227875729204,59.185227875729204,2035-01-01
SMH,1526001,253425.83388961098,1042491.7103259792,727011.3810810432,1500000,1500000.0,93131.74165300118,16.607186619773575,81.28598779646727,28.253694775625128,100.0,100.0,45.89372411159698,3362634.8330600234,3362634.8330600234,60.4944623717951,60.4944623717951,2036-01-01
SMH,1631001,269109.2104218621,1068631.8310515652,765697.7707497283,1500000,1500000.0,96543.66325269965,16.49963491266174,83.32420595518411,29.757156033748238,100.0,100.0,47.575060526096586,3430873.265053993,3430873.265053993,61.72208519184807,61.72208519184807,2037-01-01
SMH,1737001,284675.51474499004,1092134.1216408669,803442.1034026615,1500000,1500000.0,99767.16973913308,16.388909087846816,85.15674513713465,31.224006322529007,100.0,100.0,49.16354920605194,3495343.3947826615,3495343.3947826615,62.881915512592876,62.881915512592876,2038-01-01
SMH,1842001,299900.3276734316,1112867.5181793722,839739.4608513239,1500000,1500000.0,102768.78837003664,16.28122501960811,86.77338592316188,32.634623109561055,100.0,100.0,50.64269535847954,3555375.7674007327,3555375.7674007327,63.96190970962221,63.96190970962221,2039-01-01
SMH,1947001,315206.75691633596,1131342.7698458647,875624.7126833737,1500000,1500000.0,105629.86750153889,16.189347458801304,88.21395285201504,34.02922432020724,100.0,100.0,52.05258605731176,3612597.350030777,3612597.350030777,64.99133724163813,64.99133724163813,2040-01-01
SMH,2052001,330545.9130275213,1147805.8188936326,910986.5924920726,1500000,1500000.0,108357.49533608975,16.10846744360852,89.49762272750121,35.40348583083405,100.0,100.0,53.39671424707976,3667149.906721795,3667149.906721795,65.97274847177961,65.97274847177961,2041-01-01
